Code,Categorie,Nom fédération,Nom catégorie
"CLUB101",1,"Fédération Française d'athlétisme","Fédération unisport olympique"
"CLUB102",1,"Fédération Française des sociétés d'aviron","Fédération unisport olympique"
"CLUB103",1,"Fédération Française de badminton","Fédération unisport olympique"
"CLUB105",1,"Fédération Française de basketball","Fédération unisport olympique"
"CLUB106",1,"Fédération Française de boxe","Fédération unisport olympique"
"CLUB107",1,"Fédération Française de canoë-kayak","Fédération unisport olympique"
"CLUB108",1,"Fédération Française de cyclisme","Fédération unisport olympique"
"CLUB109",1,"Fédération Française d'équitation","Fédération unisport olympique"
"CLUB110",1,"Fédération Française d'escrime","Fédération unisport olympique"
"CLUB111",1,"Fédération Française de football","Fédération unisport olympique"
"CLUB112",1,"Fédération Française des sports de glace","Fédération unisport olympique"
"CLUB113",1,"Fédération Française de gymnastique","Fédération unisport olympique"
"CLUB114",1,"Fédération Française d’haltérophilie - musculation","Fédération unisport olympique"
"CLUB115",1,"Fédération Française de handball","Fédération unisport olympique"
"CLUB116",1,"Fédération Française de hockey","Fédération unisport olympique"
"CLUB117",1,"Fédération Française de judo-jujitsu, kendo et disciplines associées","Fédération unisport olympique"
"CLUB118",1,"Fédération Française de lutte","Fédération unisport olympique"
"CLUB119",1,"Fédération Française de natation","Fédération unisport olympique"
"CLUB120",1,"Fédération française de pentathlon moderne","Fédération unisport olympique"
"CLUB121",1,"Fédération Française de ski","Fédération unisport olympique"
"CLUB122",1,"Fédération Française de taekwondo et disciplines associées","Fédération unisport olympique"
"CLUB123",1,"Fédération Française de tennis","Fédération unisport olympique"
"CLUB124",1,"Fédération Française de tennis de Table","Fédération unisport olympique"
"CLUB125",1,"Fédération Française de tir","Fédération unisport olympique"
"CLUB126",1,"Fédération Française de tir à l'arc","Fédération unisport olympique"
"CLUB127",1,"Fédération Française de triathlon","Fédération unisport olympique"
"CLUB128",1,"Fédération Française de voile","Fédération unisport olympique"
"CLUB129",1,"Fédération Française de volleyball","Fédération unisport olympique"
"CLUB131",1,"Fédération Française de hockey sur glace","Fédération unisport olympique"
"CLUB132",1,"Fédération Française de golf","Fédération unisport olympique"
"CLUB133",1,"Fédération Française de rugby","Fédération unisport olympique"
"CLUB134",1,"FF de karaté et disciplines associées","Fédération unisport olympique"
"CLUB135",1,"FF de la montagne et de l'escalade","Fédération unisport olympique"
"CLUB136",1,"FF de roller et skateboard","Fédération unisport olympique"
"CLUB137",1,"FF de surf","Fédération unisport olympique"
"CLUB138",1,"FF de baseball et softball","Fédération unisport olympique"
"CLUB201",2,"Fédération Française d'aéromodélisme","Fédération unisport non olympique"
"CLUB202",2,"Fédération Nationale aéronautique","Fédération unisport non olympique"
"CLUB203",2,"Fédération Française d'aérostation","Fédération unisport non olympique"
"CLUB204",2,"Fédération Française d'aïkido, aïkibudo et affinitaires","Fédération unisport non olympique"
"CLUB205",2,"Fédération Française d'aïkido et de budo","Fédération unisport non olympique"
"CLUB206",2,"Fédération Française du sport automobile","Fédération unisport non olympique"
"CLUB207",2,"Fédération Française de jeu de balle au tambourin","Fédération unisport non olympique"
"CLUB208",2,"Fédération Française de ballon au poing","Fédération unisport non olympique"
"CLUB209",2,"Fédération Française de ball-trap","Fédération unisport non olympique"
"CLUB210",2,"Fédération Française de billard","Fédération unisport non olympique"
"CLUB211",2,"Fédération Française du sport boules","Fédération unisport non olympique"
"CLUB212",2,"Fédération Française de savate, boxe française et disciplines associées","Fédération unisport non olympique"
"CLUB213",2,"Fédération Française de bowling et de sports de quilles","Fédération unisport non olympique"
"CLUB214",2,"Fédération Française de char à voile","Fédération unisport non olympique"
"CLUB215",2,"Fédération Française de la course camarguaise","Fédération unisport non olympique"
"CLUB216",2,"Fédération Française de la course landaise","Fédération unisport non olympique"
"CLUB217",2,"Fédération Française de course d'orientation","Fédération unisport non olympique"
"CLUB218",2,"Fédération Française de cyclotourisme","Fédération unisport non olympique"
"CLUB219",2,"Fédération Française de danse","Fédération unisport non olympique"
"CLUB220",2,"Fédération Française des échecs","Fédération unisport non olympique"
"CLUB221",2,"Fédération Française d'études et sports sous-marins","Fédération unisport non olympique"
"CLUB222",2,"Fédération Française de football américain","Fédération unisport non olympique"
"CLUB224",2,"Fédération Française de giraviation","Fédération unisport non olympique"
"CLUB226",2,"Fédération Française de javelot tir sur cible","Fédération unisport non olympique"
"CLUB227",2,"Fédération Française de jeu de paume","Fédération unisport non olympique"
"CLUB228",2,"Fédération Française de joutes et sauvetage nautique","Fédération unisport non olympique"
"CLUB231",2,"Fédération Française de longue paume","Fédération unisport non olympique"
