pkey,Occupation_42,Is_student,activity_type,INSEE,AGE_2018,DEGREE,SEX,household_type,target
1,"csp_8_6",FALSE,"TACT2-5","01002",95,"hd.1.2","Female","ft12","I"
2,"csp_7_7",FALSE,"TACT2-1","01004",69,"hd.1.3","Female","ft12","N"
3,"csp_8_4",TRUE,"TACT2-2","01004",17,"hd.1.2","Male","ft42","I"
6,"csp_5_6",FALSE,"TACT1-1","01004",50,"hd.1.3","Female","ft41","N"
7,"csp_5_5",FALSE,"TACT1-1","01004",30,"hd.1.3","Female","ft41","N"
8,"csp_7_4",FALSE,"TACT2-1","01004",70,"hd.1.5","Female","ft44","N"
9,"csp_7_8",FALSE,"TACT2-1","01004",73,"hd.3","Male","ft11","I"
10,"csp_4_5",FALSE,"TACT1-1","01004",35,"hd.1.7","Female","ft41","N"
11,"csp_7_8",FALSE,"TACT2-1","01004",74,"hd.1.1","Female","ft44","I"
12,"csp_4_3",FALSE,"TACT1-1","01004",64,"hd.1.7","Female","ft43","N"
15,"csp_2_1",FALSE,"TACT1-1","01004",30,"hd.1.5","Female","ft41","N"
18,"csp_4_2",FALSE,"TACT1-1","01004",63,"hd.1.2","Female","ft43","N"
19,"csp_4_2",FALSE,"TACT1-1","01004",49,"hd.1.3","Female","ft41","N"
21,"csp_7_4",FALSE,"TACT2-1","01004",77,"hd.1.4","Male","ft44","I"
24,"csp_2_1",FALSE,"TACT1-1","01004",52,"hd.3","Male","ft41","N"
25,"csp_4_2",FALSE,"TACT1-1","01004",52,"hd.1.7","Female","ft43","N"
28,"csp_5_2",FALSE,"TACT1-1","01004",46,"hd.1.5","Female","ft41","N"
33,"csp_3_1",FALSE,"TACT1-1","01008",71,"hd.1.8","Male","ft11","I"
34,"csp_5_2",FALSE,"TACT1-1","01010",58,"hd.1.3","Female","ft12","N"
36,"csp_4_6",FALSE,"TACT1-1","01012",49,"hd.1.6","Male","ft41","N"
37,"csp_4_6",FALSE,"TACT1-1","01014",27,"hd.1.8","Female","ft41","N"
39,"csp_8_6",FALSE,"TACT2-1","01014",95,"hd.1","Female","ft12","I"
40,"csp_4_2",FALSE,"TACT1-1","01014",23,"hd.1.7","Male","ft32","N"
41,"csp_4_6",FALSE,"TACT1-1","01015",60,"hd.1.7","Female","ft12","I"
42,"csp_4_6",FALSE,"TACT1-1","01017",59,"hd.1.3","Male","ft32","I"
43,"csp_8_4",TRUE,"TACT2-2","01021",22,"hd.1.4","Female","ft32","N"
45,"csp_5_2",FALSE,"TACT1-2","01024",24,"hd.1.3","Female","ft12","N"
46,"csp_4_2",FALSE,"TACT1-1","01024",43,"hd.1.5","Male","ft44","I"
47,"csp_7_7",FALSE,"TACT2-1","01024",63,"hd.1.3","Male","ft44","I"
48,"csp_2_2",FALSE,"TACT1-1","01024",40,"hd.1.5","Male","ft42","N"
51,"csp_7_8",FALSE,"TACT2-1","01025",91,"hd.1.1","Male","ft44","I"
53,"csp_8_6",FALSE,"TACT2-4","01025",62,"hd.1.4","Female","ft44","I"
55,"csp_4_6",FALSE,"TACT1-1","01025",50,"hd.1.3","Female","ft32","I"
56,"csp_4_7",FALSE,"TACT1-1","01026",32,"hd.1.7","Female","ft41","N"
58,"csp_5_5",FALSE,"TACT1-1","01027",47,"hd.1.4","Female","ft41","N"
59,"csp_4_8",FALSE,"TACT1-1","01027",45,"hd.1.5","Male","ft41","N"
64,"csp_7_5",FALSE,"TACT2-1","01028",70,"hd.1.7","Female","ft12","N"
65,"csp_7_2",FALSE,"TACT2-1","01028",76,"hd.1.3","Male","ft44","I"
67,"csp_6_7",FALSE,"TACT1-2","01030",26,"hd.1.5","Male","ft41","N"
69,"csp_7_7",FALSE,"TACT2-1","01030",78,"hd.1.4","Female","ft12","N"
70,"csp_7_5",FALSE,"TACT2-1","01031",62,"hd.1.6","Female","ft44","N"
75,"csp_5_4",FALSE,"TACT1-1","01031",38,"hd.1.5","Female","ft41","N"
76,"csp_6_7",FALSE,"TACT1-1","01031",36,"hd.1.3","Male","ft31","I"
77,"csp_3_8",FALSE,"TACT1-1","01032",50,"hd.1.7","Female","ft41","N"
78,"csp_5_3",FALSE,"TACT1-1","01032",25,"hd.1.4","Male","ft11","I"
79,"csp_3_7",FALSE,"TACT1-1","01032",42,"hd.1.7","Female","ft41","N"
81,"csp_5_3",FALSE,"TACT1-1","01032",23,"hd.1.5","Male","ft41","I"
84,"csp_8_5",FALSE,"TACT2-5","01033",52,"hd.1.3","Male","ft32","I"
85,"csp_6_5",FALSE,"TACT1-1","01033",52,"hd.1.3","Male","ft20","I"
87,"csp_5_5",FALSE,"TACT1-1","01033",51,"hd.1.3","Female","ft41","N"
88,"csp_8_6",FALSE,"TACT2-5","01033",70,"hd.1.1","Male","ft43","I"
89,"csp_4_3",FALSE,"TACT1-1","01033",38,"hd.1.6","Female","ft41","N"
90,"csp_4_6",FALSE,"TACT1-1","01033",41,"hd.1.6","Female","ft32","N"
92,"csp_8_6",FALSE,"TACT2-1","01033",85,"hd.2","Female","ft41","I"
94,"csp_2_2",FALSE,"TACT1-1","01033",27,"hd.1.3","Female","ft41","I"
95,"csp_8_6",FALSE,"TACT2-4","01033",73,"hd.1.3","Female","ft42","I"
96,"csp_7_5",FALSE,"TACT2-1","01033",77,"hd.1.4","Male","ft11","I"
98,"csp_7_5",FALSE,"TACT2-1","01033",81,"hd.1.3","Female","ft32","N"
100,"csp_3_7",FALSE,"TACT1-2","01033",58,"hd.1.8","Female","ft20","I"
101,"csp_8_4",TRUE,"TACT2-2","01033",19,"hd.1.2","Female","ft42","I"
102,"csp_5_2",FALSE,"TACT1-1","01033",32,"hd.1.3","Female","ft41","N"
103,"csp_3_7",FALSE,"TACT1-1","01033",40,"hd.1.3","Male","ft11","I"
106,"csp_5_4",FALSE,"TACT1-2","01033",67,"hd.1.1","Female","ft44","N"
107,"csp_4_7",FALSE,"TACT1-1","01033",29,"hd.1.6","Male","ft42","I"
110,"csp_7_7",FALSE,"TACT2-1","01033",91,"hd.2","Female","ft41","I"
114,"csp_4_8",FALSE,"TACT1-1","01033",32,"hd.1.5","Male","ft11","I"
115,"csp_6_7",FALSE,"TACT1-1","01033",34,"hd.1.2","Male","ft42","I"
117,"csp_8_4",TRUE,"TACT2-2","01033",17,"hd.1.2","Female","ft32","N"
119,"csp_4_7",TRUE,"TACT1-1","01033",31,"hd.1.5","Male","ft32","I"
120,"csp_6_2",FALSE,"TACT1-1","01034",54,"hd.1.8","Male","ft41","I"
124,"csp_7_7",FALSE,"TACT2-1","01034",63,"hd.1.2","Female","ft12","I"
126,"csp_2_1",FALSE,"TACT1-1","01034",37,"hd.1.6","Female","ft41","I"
128,"csp_5_6",FALSE,"TACT1-1","01034",31,"hd.1.3","Male","ft41","I"
129,"csp_6_8",FALSE,"TACT1-1","01034",52,"hd.2","Male","ft32","I"
131,"csp_7_4",FALSE,"TACT2-1","01034",84,"hd.1.4","Male","ft11","I"
132,"csp_5_5",FALSE,"TACT1-1","01034",28,"hd.3","Female","ft41","N"
133,"csp_6_2",FALSE,"TACT1-1","01034",57,"hd.1.3","Male","ft41","I"
