pkey,emp_type
6,"ec-1-6"
7,"ec-1-6"
10,"ec-1-6"
12,"ec-2-1"
15,"ec-2-1"
18,"ec-1-6"
19,"ec-1-5"
24,"ec-2-1"
25,"ec-1-6"
28,"ec-1-6"
33,"ec-2-1"
34,"ec-1-6"
36,"ec-1-6"
37,"ec-1-6"
40,"ec-1-5"
41,"ec-1-6"
42,"ec-1-6"
46,"ec-1-6"
48,"ec-2-1"
55,"ec-1-6"
56,"ec-1-6"
58,"ec-1-5"
59,"ec-1-6"
75,"ec-1-6"
76,"ec-1-6"
77,"ec-1-6"
78,"ec-1-6"
79,"ec-1-6"
81,"ec-1-5"
85,"ec-1-2"
87,"ec-1-5"
89,"ec-1-6"
90,"ec-1-6"
94,"ec-2-2"
102,"ec-1-6"
103,"ec-1-6"
107,"ec-1-6"
114,"ec-1-6"
115,"ec-1-6"
119,"ec-1-1"
120,"ec-1-6"
126,"ec-2-2"
128,"ec-1-6"
129,"ec-1-6"
132,"ec-1-6"
133,"ec-1-6"
136,"ec-1-6"
157,"ec-1-6"
161,"ec-1-5"
163,"ec-1-6"
170,"ec-1-6"
171,"ec-1-5"
172,"ec-2-2"
174,"ec-1-6"
175,"ec-1-6"
178,"ec-1-6"
183,"ec-1-6"
185,"ec-1-6"
203,"ec-1-6"
206,"ec-1-6"
208,"ec-1-6"
212,"ec-1-5"
213,"ec-1-6"
215,"ec-1-6"
217,"ec-1-6"
220,"ec-1-5"
224,"ec-1-6"
225,"ec-1-6"
227,"ec-1-6"
228,"ec-1-6"
230,"ec-1-6"
232,"ec-1-6"
235,"ec-2-3"
247,"ec-2-3"
248,"ec-2-2"
250,"ec-1-6"
254,"ec-1-6"
255,"ec-1-6"
257,"ec-1-6"
263,"ec-1-6"
265,"ec-2-1"
273,"ec-1-6"
276,"ec-1-6"
278,"ec-1-6"
290,"ec-2-1"
292,"ec-1-6"
294,"ec-1-6"
297,"ec-1-6"
301,"ec-1-6"
302,"ec-1-5"
307,"ec-2-1"
309,"ec-1-2"
315,"ec-2-2"
317,"ec-1-6"
327,"ec-1-6"
330,"ec-1-6"
334,"ec-1-6"
336,"ec-1-6"
338,"ec-1-1"
340,"ec-1-6"
344,"ec-1-6"
345,"ec-2-1"
346,"ec-1-6"
352,"ec-1-6"
355,"ec-1-6"
362,"ec-1-2"
364,"ec-1-5"
366,"ec-1-1"
367,"ec-1-6"
370,"ec-1-2"
371,"ec-1-6"
383,"ec-1-1"
387,"ec-1-6"
404,"ec-1-6"
412,"ec-1-2"
416,"ec-1-6"
422,"ec-1-6"
431,"ec-1-6"
432,"ec-1-6"
439,"ec-1-6"
444,"ec-1-6"
460,"ec-1-6"
461,"ec-2-1"
463,"ec-1-6"
466,"ec-1-6"
468,"ec-1-5"
479,"ec-1-6"
482,"ec-2-2"
484,"ec-1-1"
487,"ec-1-6"
490,"ec-2-1"
497,"ec-1-6"
498,"ec-1-6"
499,"ec-1-6"
506,"ec-2-2"
507,"ec-1-6"
509,"ec-1-6"
510,"ec-1-6"
513,"ec-1-6"
520,"ec-1-6"
536,"ec-1-6"
548,"ec-1-6"
549,"ec-1-6"
551,"ec-1-6"
559,"ec-1-6"
560,"ec-1-6"
570,"ec-1-6"
573,"ec-1-6"
576,"ec-1-6"
582,"ec-1-6"
585,"ec-2-2"
591,"ec-1-6"
603,"ec-1-6"
613,"ec-1-5"
617,"ec-1-6"
620,"ec-2-2"
625,"ec-1-6"
632,"ec-1-4"
639,"ec-1-5"
645,"ec-2-1"
646,"ec-1-4"
655,"ec-2-1"
658,"ec-2-1"
663,"ec-1-6"
664,"ec-1-6"
670,"ec-1-6"
671,"ec-1-6"
677,"ec-2-2"
681,"ec-1-6"
686,"ec-1-6"
688,"ec-1-6"
694,"ec-1-6"
703,"ec-1-5"
704,"ec-1-6"
708,"ec-1-6"
711,"ec-2-2"
714,"ec-1-5"
720,"ec-1-6"
722,"ec-1-6"
725,"ec-1-6"
727,"ec-2-1"
729,"ec-1-6"
730,"ec-1-6"
734,"ec-1-6"
742,"ec-1-6"
747,"ec-1-6"
758,"ec-1-6"
760,"ec-1-6"
763,"ec-1-6"
764,"ec-1-6"
769,"ec-1-6"
