pkey,Type_of_contract,PAY,job_dep,employer_type,employee_count,work_condition,ECO_SECT,JOB_CATEGORY,working_hours,work_desc
6,"CDI",12152,"01","ct_6","tr_1","C","IZ","O",1310,"561b"
7,"CDI",15557,"01","ct_9","tr_3","C","GZ","O",1534,"554h"
19,"AUT",29002,"01","ct_1","tr_4","C","PZ","O",1820,"422b"
25,"CDI",19938,"01","ct_8","tr_3","C","QB","O",1820,"423b"
28,"CDI",21611,"01","ct_9","tr_5","C","QA","O",1803,"526a"
34,"CDI",20972,"01","ct_2","tr_6","C","OZ","O",1820,"523c"
36,"CDI",17146,"01","ct_9","tr_1","C","GZ","O",1202,"462d"
37,"CDI",18549,"69","ct_9","tr_3","C","KZ","O",1820,"467a"
40,"CDD",37351,"01","ct_9","tr_4","C","PZ","O",1256,"424a"
41,"CDI",20872,"69","ct_8","tr_2","C","SZ","O",1820,"462e"
42,"CDI",39914,"01","ct_9","tr_5","C","CE","O",709,"461d"
55,"CDI",53268,"94","ct_9","tr_6","C","GZ","O",2044,"463d"
56,"CDI",9755,"26","ct_9","tr_3","C","MA","O",1377,"473c"
59,"CDI",50369,"69","ct_9","tr_4","C","CG","O",1873,"484b"
75,"CDI",19847,"71","ct_9","tr_1","C","GZ","O",1750,"543f"
76,"CDI",24623,"01","ct_9","tr_5","C","HZ","O",1588,"676d"
77,"CDI",32740,"69","ct_9","tr_5","P","EZ","O",1560,"386b"
79,"CDI",41763,"73","ct_8","tr_1","N","NZ","O",1638,"372f"
81,"AUT",10596,"69","ct_1","tr_6","C","OZ","O",1213,"531a"
85,"TTP",6870,"01","ct_9","tr_1","N","NZ","O",731,"652a"
89,"CDI",9000,"01","ct_9","tr_4","P","QB","O",1099,"435b"
90,"CDI",14297,"01","ct_8","tr_5","P","QA","O",1274,"461f"
102,"CDI",19376,"01","ct_8","tr_5","C","QA","O",1733,"526a"
103,"CDI",51382,"31","ct_9","tr_3","C","CB","O",642,"374d"
107,"CDI",29510,"01","ct_9","tr_2","C","JC","O",1968,"478b"
114,"CDI",21000,"71","ct_9","tr_3","C","CA","O",1300,"481b"
115,"CDI",3771,"01","ct_9","tr_5","C","CG","O",430,"674d"
120,"CDI",23455,"01","ct_9","tr_3","C","CH","O",1719,"623a"
128,"CDI",8612,"01","ct_9","tr_2","C","IZ","O",931,"561c"
129,"CDI",17553,"01","ct_9","tr_2","C","FZ","O",1732,"681a"
132,"CDI",15526,"01","ct_9","tr_3","C","CA","O",1000,"554a"
133,"CDI",21888,"69","ct_9","tr_5","C","CL","O",1547,"628a"
157,"CDI",31543,"01","ct_9","tr_6","C","LZ","O",1785,"376g"
161,"AUT",8366,"01","ct_8","tr_5","C","QB","O",1810,"676e"
163,"CDI",35857,"69","ct_9","tr_5","C","MA","O",1713,"475b"
171,"AUT",26661,"01","ct_2","tr_6","C","OZ","O",2028,"621f"
174,"CDI",8136,"01","ct_1","tr_4","P","PZ","O",824,"523b"
175,"CDI",25836,"01","ct_9","tr_4","C","NZ","O",1916,"653a"
178,"CDI",15680,"01","ct_9","tr_2","C","CA","O",1871,"554a"
183,"CDI",24304,"01","ct_9","tr_5","C","CH","O",1509,"484b"
185,"CDI",31695,"69","ct_9","tr_5","C","GZ","O",2009,"462b"
203,"CDI",33579,"69","ct_9","tr_6","C","DZ","O",1820,"481a"
206,"CDI",23195,"01","ct_9","tr_1","C","GZ","O",2111,"643a"
208,"CDI",2672,"01","ct_9","tr_5","C","SZ","O",360,"685a"
213,"CDI",20303,"01","ct_9","tr_5","C","CG","O",1725,"674a"
215,"CDI",11427,"69","ct_9","tr_2","C","GZ","O",594,"676c"
217,"CDI",14832,"01","ct_9","tr_1","C","FZ","O",1709,"681b"
220,"CDD",17153,"01","ct_3","tr_6","C","QA","O",1850,"632k"
224,"CDI",20891,"01","ct_9","tr_6","C","CI","O",1942,"672a"
225,"CDI",23804,"71","ct_8","tr_4","P","QB","O",1456,"434c"
227,"CDI",25016,"69","ct_8","tr_5","C","PZ","O",1820,"341a"
228,"CDI",22440,"69","ct_9","tr_1","C","GZ","O",1708,"433d"
230,"CDI",14746,"69","ct_9","tr_2","C","GZ","O",1559,"551a"
250,"CDI",3107,"69",NA,NA,"C","CM","O",253,"684a"
254,"CDI",16999,"01","ct_9","tr_2","C","FZ","O",1678,"681a"
255,"CDI",19397,"01","ct_8","tr_3","C","QB","O",1820,"526d"
257,"CDI",24693,"69","ct_9","tr_1","C","GZ","O",2028,"641a"
263,"CDI",1256,"01",NA,NA,"C","QB","O",127,"525d"
273,"CDI",34198,"01","ct_8","tr_1","C","QA","O",1824,"431a"
276,"CDI",19241,"01","ct_8","tr_6","C","QA","O",1243,"526a"
278,"CDI",9657,"01","ct_9","tr_4","P","QB","O",775,"525d"
292,"CDI",55401,"01","ct_8","tr_3","C","SZ","O",1820,"373d"
297,"CDI",12453,"01","ct_9","tr_2","C","GZ","O",1544,"551a"
301,"CDI",49587,"69","ct_9","tr_2","C","NZ","O",2080,"526b"
