pkey,Previous_occupation_42,previous_emp_type,retirement_age
2,"csp_5_2","ec-1-6",60
8,"csp_3_7","ec-1-6",60
9,"csp_6_3","ec-1-6",60
11,"csp_6_7","ec-1-6",60
21,"csp_3_1","ec-2-1",60
47,"csp_5_2","ec-1-6",63
51,"csp_6_2","ec-1-6",64
64,"csp_4_6","ec-1-6",60
65,"csp_2_2","ec-2-2",60
69,"csp_5_2","ec-1-5",65
70,"csp_4_6","ec-1-6",62
96,"csp_4_7","ec-1-6",60
98,"csp_4_3","ec-2-1",65
110,"csp_5_6","ec-1-6",60
124,"csp_5_6","ec-1-6",63
131,"csp_3_8","ec-1-6",56
137,"csp_2_2","ec-2-1",59
139,"csp_4_8","ec-1-6",60
158,"csp_5_5","ec-1-6",58
179,"csp_3_3","ec-1-6",60
191,"csp_5_2","ec-1-6",65
195,"csp_4_2","ec-1-6",65
201,"csp_6_7","ec-1-6",69
214,"csp_4_5","ec-1-6",65
218,"csp_4_3","ec-1-6",59
221,"csp_5_2","ec-1-6",60
223,"csp_6_4","ec-1-6",65
229,"csp_5_2","ec-1-5",63
237,"csp_1_1","ec-2-1",58
238,"csp_6_2","ec-1-6",60
246,"csp_4_7","ec-1-6",65
249,"csp_6_3","ec-1-6",60
251,"csp_5_6","ec-1-6",53
261,"csp_2_1","ec-2-2",57
264,"csp_5_4","ec-1-6",54
268,"csp_4_3","ec-1-6",59
285,"csp_5_5","ec-1-6",60
289,"csp_5_4","ec-1-6",60
291,"csp_5_6","ec-1-5",59
296,"csp_6_2","ec-1-6",65
299,"csp_6_8","ec-1-6",60
311,"csp_4_6","ec-1-6",55
316,"csp_5_2","ec-1-6",65
321,"csp_5_6","ec-1-6",60
333,"csp_5_2","ec-1-6",60
337,"csp_3_4","ec-1-6",67
374,"csp_3_8","ec-1-6",60
382,"csp_6_5","ec-1-6",60
390,"csp_3_8","ec-1-6",59
394,"csp_4_7","ec-1-6",55
398,"csp_6_8","ec-1-6",60
413,"csp_4_6","ec-1-6",64
419,"csp_6_3","ec-1-5",65
425,"csp_6_7","ec-1-6",60
438,"csp_5_5","ec-1-6",60
441,"csp_5_2","ec-1-6",64
442,"csp_5_2","ec-1-6",59
445,"csp_6_9","ec-1-5",65
451,"csp_6_3","ec-1-6",63
464,"csp_6_8","ec-1-6",60
465,"csp_5_5","ec-1-6",60
469,"csp_5_2","ec-1-6",60
473,"csp_6_7","ec-1-6",60
476,"csp_5_6","ec-1-6",65
493,"csp_4_3","ec-2-1",65
496,"csp_2_1","ec-2-1",60
512,"csp_6_2","ec-1-6",56
514,"csp_2_2","ec-2-1",57
517,"csp_4_3","ec-2-1",60
529,"csp_5_6","ec-1-6",64
531,"csp_2_2","ec-2-1",60
533,"csp_5_4","ec-1-6",55
537,"csp_4_6","ec-2-1",60
543,"csp_6_4","ec-1-6",60
555,"csp_4_6","ec-1-6",60
572,"csp_5_4","ec-1-6",60
577,"csp_1_1","ec-2-1",60
578,"csp_5_6","ec-1-6",60
579,"csp_4_8","ec-1-6",60
580,"csp_3_5","ec-1-5",56
589,"csp_5_6","ec-1-6",60
590,"csp_5_5","ec-1-6",60
596,"csp_5_2","ec-1-6",61
605,"csp_6_8","ec-1-6",60
611,"csp_6_4","ec-1-6",65
614,"csp_1_1","ec-2-1",65
618,"csp_5_4","ec-1-6",60
622,"csp_4_6","ec-1-6",60
631,"csp_5_6","ec-1-6",65
647,"csp_5_5","ec-1-6",65
659,"csp_5_2","ec-1-6",60
667,"csp_5_2","ec-1-6",55
673,"csp_5_2","ec-1-6",60
675,"csp_3_7","ec-1-6",61
678,"csp_5_2","ec-1-6",56
680,"csp_3_1","ec-2-2",61
687,"csp_1_3","ec-2-2",56
697,"csp_6_4","ec-1-6",60
699,"csp_4_6","ec-1-5",58
702,"csp_5_4","ec-1-6",60
710,"csp_5_2","ec-1-6",60
724,"csp_6_9","ec-1-5",56
739,"csp_5_6","ec-1-6",62
745,"csp_6_3","ec-1-6",60
754,"csp_5_2","ec-1-6",62
756,"csp_5_6","ec-1-6",60
761,"csp_3_3","ec-1-6",60
765,"csp_6_2","ec-1-6",55
772,"csp_2_2","ec-2-1",62
782,"csp_4_3","ec-1-6",58
784,"csp_5_6","ec-1-6",64
789,"csp_4_2","ec-1-6",60
794,"csp_6_3","ec-1-6",65
810,"csp_5_4","ec-1-6",60
811,"csp_2_2","ec-2-2",60
812,"csp_5_4","ec-1-6",60
817,"csp_6_7","ec-1-6",60
820,"csp_4_5","ec-1-6",60
