pkey,ECO_SECT,previous_dep,job_dep,work_desc,Type_of_contract,JOB_CATEGORY,work_condition,employer_type,working_hours,employee_count
2,"PZ","75","75","525a","CDI","O","P","ct_9",1095,"tr_2"
8,"KZ","91","75","373a","CDI","O","C","ct_9",1484,"tr_6"
9,"FZ","13","13","632f","CDI","O","C","ct_9",1631,"tr_1"
11,"CM","24","24","674a","CDI","O","C","ct_9",1825,"tr_5"
47,"QA","95","78","526e","CDI","O","P","ct_9",262,"tr_5"
51,"CM","75","94","628b","CDI","O","C","ct_9",1997,"tr_3"
64,"OZ","27","27","461f","CDI","O","P","ct_1",1456,"tr_3"
69,"OZ","77","75","525b","AUT","O","C","ct_2",1820,"tr_6"
70,"SZ","95","75","461b","CDI","O","P","ct_8",1261,"tr_5"
96,"MB","47","47","471a","CDI","O","C","ct_8",1785,"tr_1"
110,"TZ","17","17","563c","CDI","O","C",NA,1119,NA
124,"TZ","79","79","563c","CDI","O","N","ct_7",1897,"tr_1"
131,"CK","68","90","384c","CDI","O","C","ct_9",1820,"tr_6"
139,"FZ","75","93","481b","CDI","O","C","ct_9",1404,"tr_3"
158,"MA","95","59","552a","CDI","O","C","ct_9",741,"tr_6"
179,"OZ","34","34","333f","CDI","O","C","ct_2",1820,"tr_6"
191,"QA","91","75","526a","CDI","O","C","ct_8",304,"tr_6"
195,"PZ","14","14","423b","CDI","O","P","ct_9",375,"tr_1"
201,"GZ","77","94","676a","CDI","O","P","ct_9",160,"tr_2"
214,"OZ",NA,NA,"451g","CDI","O","C","ct_2",1820,"tr_6"
218,"QA","64","65","431f","CDI","O","P","ct_1",448,"tr_3"
221,"QB","83","83","525d","CDI","O","P","ct_9",840,"tr_4"
223,"HZ","21","71","641a","CDI","O","C","ct_9",2200,"tr_6"
229,"OZ","89","89","523b","AUT","O","C","ct_1",1365,"tr_5"
238,"CM","44","44","627d","CDI","O","C","ct_9",1342,"tr_3"
246,"MA","31","31","472c","CDI","O","P","ct_9",1638,"tr_1"
249,"QB","44","44","632k","CDI","O","C","ct_8",1820,"tr_4"
251,"CA","77","77","561d","CDI","O","P","ct_9",798,"tr_2"
264,"CK","43","43","542a","CDI","O","P","ct_6",780,"tr_1"
268,"SZ","31","31","435b","CDI","O","P","ct_8",1918,"tr_3"
285,"GZ","37","37","554c","CDI","O","C","ct_9",799,"tr_4"
289,"GZ","59","59","542a","CDI","O","C","ct_9",295,"tr_3"
291,"QB","02","02","563a","AUT","O","C","ct_2",1820,"tr_6"
296,"OZ","13","13","621f","CDI","O","C",NA,151,NA
299,"NZ","51","51","684a","CDI","O","P","ct_9",1004,"tr_6"
311,"FZ","45","45","461b","CDI","O","C","ct_9",1490,"tr_5"
316,"PZ","92","75","525a","CDI","O","P","ct_9",2386,"tr_3"
321,"QB","80","80","563b","CDI","O","C",NA,529,NA
333,"QB","91","91","525d","CDI","O","C","ct_8",1887,"tr_4"
337,"MB","34","34","342f","CDI","O","C","ct_5",910,"tr_6"
374,"HZ","92","91","389b","CDI","O","C","ct_9",1377,"tr_5"
382,"HZ","77","77","653a","CDI","O","C","ct_9",1692,"tr_6"
390,"MA","94","92","388a","CDI","O","C","ct_9",1428,"tr_6"
394,"MA","95","92","478d","CDI","O","C","ct_9",1834,"tr_5"
398,"SZ","95","92","685a","CDI","O","C","ct_9",1666,"tr_4"
413,"GZ","30","84","462a","CDI","O","C","ct_9",2020,"tr_3"
419,"QA","95","95","632k","AUT","O","C","ct_3",1819,"tr_6"
425,"GZ","01","01","676c","CDI","O","C","ct_9",1791,"tr_2"
438,"GZ","31","31","554a","CDI","O","P","ct_9",1043,"tr_1"
441,"QA","68","68","526a","CDI","O","P","ct_8",883,"tr_2"
442,"QB","49","49","526a","CDI","O","C","ct_8",1790,"tr_3"
445,"NZ","10","10","691d","TOA","O","C","ct_8",235,"tr_1"
451,"FZ","06","06","632g","CDI","O","C","ct_9",1442,"tr_1"
464,"KZ","68","68","684a","CDI","O","P","ct_9",1556,"tr_1"
465,"GZ","56","56","551a","CDI","O","C","ct_9",1805,"tr_5"
469,"OZ","13","13","524a","CDI","O","C","ct_2",1820,"tr_6"
473,"CL","25","25","673c","CDI","O","C","ct_9",1846,"tr_6"
476,"TZ","75","94","563a","CDI","O","C",NA,311,NA
512,"CL","95","60","628f","CDI","O","C","ct_9",1820,"tr_5"
529,"QB","13","13","563b","CDI","O","C",NA,164,NA
533,"FZ","30","30","543b","CDI","O","C","ct_9",1694,"tr_5"
543,"QA","41","41","643a","CDI","O","C","ct_9",1062,"tr_0"
555,"HZ","79","79","461f","CDI","O","C","ct_9",1669,"tr_5"
572,"QA","06","06","542a","CDI","O","P","ct_6",1040,"tr_1"
578,"QB","79","79","563a","CDI","O","N","ct_7",3000,"tr_0"
579,"NZ","10","10","486b","CDI","O","C","ct_9",1698,"tr_5"
580,"RZ","13","83","354c","CDD","O","N",NA,147,NA
589,"IZ","76","27","561d","CDI","O","C","ct_9",581,"tr_1"
590,"GZ","57","57","553c","CDI","O","C","ct_9",1820,"tr_5"
596,"PZ","62","59","525a","CDI","O","P","ct_8",1534,"tr_3"
605,"NZ","38","38","684a","CDI","O","C","ct_9",2003,"tr_6"
611,"HZ","14","14","641b","CDI","O","C",NA,236,NA
618,"QA","34","34","542a","CDI","O","C","ct_9",1820,"tr_5"
622,"QB","93","92","461b","CDI","O","C","ct_8",2096,"tr_1"
631,"TZ","81","81","563c","CDI","O","N","ct_7",504,"tr_1"
647,"GZ","94","75","554e","CDI","O","P","ct_9",866,"tr_1"
659,"QB","77","77","526a","CDI","O","C","ct_8",1417,"tr_4"
667,"QB","25","25","526a","CDI","O","C","ct_9",1883,"tr_4"
673,"OZ",NA,NA,"524c","CDI","O","P","ct_2",1440,"tr_6"
675,"CL","92","92","373b","CDI","O","C","ct_9",1906,"tr_6"
678,"OZ","22","22","525c","CDI","O","C","ct_4",1850,"tr_3"
697,"JA","39","01","643a","CDI","O","P","ct_9",2153,"tr_2"
699,"RZ","69","69","461b","CDD","O","C","ct_9",815,"tr_4"
702,"HZ","28","78","542b","CDI","O","P","ct_9",180,"tr_3"
710,"QB","27","27","526d","CDI","O","C","ct_8",1820,"tr_3"
724,"MB","84","13","691c","TOA","O","C","ct_9",1063,"tr_3"
739,"TZ","62","62","563c","CDI","O","C",NA,608,NA
745,"GZ","77","77","634a","CDI","O","C","ct_9",1159,"tr_2"
754,"QB","93","92","525d","CDI","O","C","ct_8",708,"tr_4"
756,"QB","57","57","563a","CDI","O","N","ct_7",3000,"tr_1"
761,"HZ","92","92","333c","CDI","O","C","ct_9",1820,"tr_3"
765,"CG","68","68","628g","CDI","O","C","ct_9",1498,"tr_6"
782,"QA","71","71","433d","CDI","O","P","ct_3",728,"tr_6"
784,"QB","36","36","563a","CDI","O","N","ct_7",694,"tr_1"
789,"MB","62","59","425a","CDI","O","P","ct_8",1110,"tr_1"
794,"SZ","06","06","636d","CDI","O","C","ct_8",1204,"tr_3"
810,"JA","57","57","543f","CDI","O","P","ct_9",1740,"tr_6"
812,"MC","91","31","543h","CDI","O","C","ct_9",776,"tr_5"
817,"CC","81","81","675c","CDI","O","P","ct_8",751,"tr_3"
820,"HZ","64","64","451a","CDI","O","P","ct_9",856,"tr_3"
822,"IZ","57","57","526b","CDI","O","P",NA,237,NA
839,"QA","31","31","526b","CDI","O","P","ct_9",1560,"tr_1"
853,"QB","77","77","563a","CDI","O","N","ct_7",1444,"tr_1"
862,"TZ","76","76","563c","CDI","O","C",NA,307,NA
863,"QA","29","29","451h","CDI","O","C","ct_3",1820,"tr_6"
884,"PZ","94","75","543g","CDI","O","C","ct_8",1822,"tr_4"
887,"QB","57","57","563a","CDI","O","N","ct_7",574,"tr_1"
893,"HZ","12","12","526e","CDI","O","C","ct_9",1572,"tr_2"
