pkey,retirement_pay
2,11870
8,32016
9,21609
11,17204
47,18257
51,29986
64,19047
69,15749
70,17775
96,24419
110,13249
124,11566
131,33185
139,24348
158,26038
179,18187
191,11553
195,23666
201,18866
214,26156
218,16047
221,14826
223,14011
229,16046
238,22410
246,27170
249,13503
251,8881
264,10881
268,15713
285,12142
289,19408
291,19970
296,11872
299,10895
311,14730
316,16497
321,10986
333,14903
337,42273
374,33695
382,17281
390,29791
394,26536
398,14767
413,18444
419,15430
425,11575
438,10881
441,15766
442,17875
445,14944
451,14658
464,11375
465,15200
469,26404
473,12105
476,9177
512,17597
529,8881
533,14852
543,13270
555,26729
572,20228
578,12952
579,17188
580,29553
589,19158
590,11897
596,11862
605,16757
611,8881
618,14834
622,20029
631,12955
647,9662
659,15109
667,15296
673,13559
675,31712
678,12353
697,15311
699,14827
702,30764
710,15150
724,11786
739,10791
745,23113
754,9572
756,10102
761,33226
765,21918
782,14936
784,8881
789,25818
794,18627
810,8881
812,14744
817,12019
820,11556
822,15947
839,10881
853,8881
862,13307
863,20619
884,19715
887,10881
893,11623
899,12256
915,14098
929,20344
942,14657
964,10881
966,11695
976,15991
984,10881
996,13606
1002,19804
1007,11914
1009,13098
1013,11648
1017,28607
1026,16989
1031,14194
1038,25092
1041,17221
1047,21116
1064,14190
1075,17704
1085,16449
1090,10881
1107,12851
1108,10881
1110,10881
1122,17166
1129,14164
1135,21386
1139,27960
1145,22817
1148,29865
1152,11135
1155,25910
1156,24962
1163,14181
1166,12041
1169,26073
1173,30713
1175,20606
1188,19014
1208,12905
1211,24974
1213,10765
1216,26016
1217,21315
1219,37802
1267,17804
1293,18982
1300,23588
1301,16426
1306,25937
1310,16812
1330,23550
1332,15938
1334,15032
1350,13498
1357,19824
1360,24481
1363,10881
1376,15971
1378,14658
1414,10530
1426,14062
1427,19525
1454,20327
1474,16977
1477,20236
1478,14850
1485,10979
1498,24418
1502,13322
1507,10569
1514,14059
1536,11862
1542,19892
1544,13449
1563,34736
1567,13547
1568,13380
1570,16897
1572,22632
1575,17066
1596,17198
1600,15343
1621,16112
1625,20067
1628,14167
1638,21386
1682,20019
1686,17660
1696,23437
1697,27535
1719,10881
1723,14981
1726,14409
1733,20764
1736,19132
1739,15767
1754,15331
1769,18828
1774,10881
1780,18779
1789,29068
1799,12754
1803,14393
1808,11546
1826,13592
1829,15792
1836,19049
1842,25250
1845,19584
1850,15057
1861,10881
1871,18915
1876,31997
1879,22808
1882,21399
1883,17390
1892,36230
1898,17283
1899,19868
1907,16572
1916,13090
1918,11308
1933,17899
1941,26497
1944,32048
1945,31369
1948,12457
1953,9808
1956,20069
1960,20106
1962,11910
1978,13343
1979,9830
1981,27584
1986,12329
1987,14827
1989,9875
1990,11263
1992,15853
1995,14975
2004,23509
2015,18632
2040,13458
2041,11513
2047,13512
2053,11372
2059,24082
2066,11273
2073,13197
2090,10881
2093,26012
2097,10881
2100,12158
2105,16547
2106,17419
2118,21827
2121,10881
2123,12962
2128,16012
2129,19517
2131,11364
2173,11750
2176,29656
2178,13303
2191,25093
2196,20627
2206,20378
2230,11628
2248,10881
2253,25028
2256,18448
2273,26906
2279,18471
2282,23694
2295,15270
2297,15538
2302,17627
2311,13465
2322,11862
2328,17688
2333,19886
2336,19035
2348,19950
2354,8998
2362,25989
2368,10881
2376,18272
2378,25375
2399,14657
2401,21819
2403,19966
2416,17888
2420,8881
2424,10881
2427,27263
2438,26462
2454,19071
2461,20971
2462,8976
2486,11658
2501,20407
2502,19172
2505,10881
2512,18445
2513,19813
2515,19275
2523,8881
2527,20011
2536,29991
2538,28049
2539,20077
2542,20299
2548,15239
2550,20375
2551,17163
2562,13690
2564,18798
2565,11487
2577,9155
2586,53226
2604,14712
2607,25921
2617,11796
2622,18489
2627,46455
2636,10881
2642,23884
2645,22435
2684,17423
2685,27814
2692,13109
2696,17839
2700,17690
2708,12106
2711,11893
2731,11714
2734,17188
2744,18796
2751,8881
2755,15134
2758,21030
2777,15793
2790,29331
2808,19997
2813,19966
2822,11862
2823,18651
2837,12170
2843,13886
2872,25588
2876,16868
2882,32598
2883,17920
2896,24355
2909,25346
2910,57450
2914,10881
2917,18120
2918,20361
2919,12378
2922,13983
2926,20211
2944,11862
2959,25211
2980,15230
2985,37739
2991,23174
3001,23877
3002,26012
3016,19306
3027,20115
3034,16567
3037,13217
3039,22969
3040,12270
3041,11867
3065,22632
3069,17613
3071,19808
3088,13273
3089,10421
3090,17225
3099,11755
3107,10881
3117,13174
3122,19684
3139,11699
3144,13280
3146,16864
3158,29143
3159,19542
3162,19817
3163,17866
3169,8927
3184,17417
3195,11771
3198,23491
3199,29864
3211,28462
3213,24002
3218,10881
3224,14195
3230,24638
3234,11310
3254,14341
3262,19355
3267,13381
3269,22976
3274,20932
3276,17306
3277,24706
3278,19813
3279,11757
3288,11385
3301,11774
3304,13597
3312,10881
3327,11862
3339,23169
3343,15041
3344,17188
3346,11862
3360,19152
3370,12243
3378,10881
3401,29904
3402,18906
3429,16131
3436,20286
3465,15632
3486,24857
3489,19054
3491,29310
3493,28541
3496,10881
3503,12159
3507,31807
3516,18900
3519,18309
3523,20021
3530,12798
3535,19675
3536,16747
3547,15476
3549,27747
3551,25859
3554,13718
3563,20279
3565,12544
3591,20367
3606,18616
3607,10604
3612,33446
3618,22295
3631,25407
3639,20385
3645,19037
3663,11175
3666,23698
3670,14825
3678,14961
3679,14245
3685,12728
3687,12913
3689,26019
3691,23502
3692,12509
3701,14208
3725,10881
3727,10317
3737,19902
3742,23380
3759,16230
3760,169700
3765,13288
3795,16875
3819,13563
3831,13702
3845,12761
3860,35362
3863,15922
3867,20265
3873,12735
3880,12461
3888,14810
3889,14674
3890,12109
3891,14093
3913,22220
3914,21238
3923,15799
3935,19821
3939,13376
3942,38804
3945,15136
3973,14727
3974,34856
3976,43730
3979,12982
3994,11862
4000,13537
4005,26307
4022,17170
4049,13357
4054,10201
4057,18278
4067,20354
4068,8881
4087,19325
4094,23546
4119,10881
4130,17603
4138,12358
4142,19538
4178,19863
4191,16308
4206,31446
4229,23836
4231,19598
4238,29768
4240,14596
4244,12517
4249,12166
4252,24620
4266,24669
4275,18668
4277,12467
4297,14294
4331,10881
4344,20383
4348,12605
4354,32090
4375,10881
4379,18764
4384,26027
4388,13031
4396,25995
4397,25800
4404,13172
4421,20034
4428,32025
4430,30835
4435,26081
4451,16312
4480,34067
4481,44640
4490,11862
4498,17526
4514,25850
4518,12600
4535,11547
4545,21032
4566,23802
4578,25733
4581,17162
4595,9890
4602,25633
4609,14014
4610,28625
4612,24934
4627,15782
4644,20385
4647,24755
4652,13533
4656,18520
4658,24371
4690,22759
4693,11200
4694,18372
4705,19255
4716,10881
4717,20377
4721,14173
4724,25616
4726,9487
4763,20053
4776,19613
4779,18593
4780,12079
4781,21406
4794,16827
4796,11862
4803,19793
4826,18643
4827,11846
4841,11590
4842,16712
4846,12277
4852,11954
4855,11897
4856,24580
4857,12968
4859,15627
4869,14733
4872,14519
4881,12783
4883,23096
4885,32098
4887,11670
4890,15178
4898,15288
4901,14601
4915,37763
4933,31635
4945,18910
4949,13328
4971,14435
4985,11862
4988,20375
5003,17207
5005,22788
5017,25306
5028,14015
5048,13220
5049,17414
5070,19820
5083,19223
5088,13750
5109,25744
5119,12792
5124,18050
5133,9261
5138,19166
5142,10939
5150,8881
5158,29243
5171,14123
5172,13144
5178,15458
5188,29523
5190,16111
5198,23089
5203,10979
5209,29632
5219,17365
5228,10409
5235,19985
5237,18903
5240,30851
5286,20295
5300,12182
5306,13936
5308,16749
5310,19778
5317,19411
5357,19600
5362,15404
5367,17811
5368,14146
5376,15484
5379,18980
5381,16360
5388,12277
5398,23679
5399,22353
5416,11708
5418,23373
5420,10881
5424,22628
5427,12024
5447,30418
5448,21467
5455,8881
5459,12522
5471,13941
5479,10881
5480,11289
5484,14803
5487,25613
5491,16190
5495,14065
5518,14521
5519,11116
5533,20131
5542,13754
5546,25372
5551,11862
5559,12437
5561,19771
5573,10976
5591,13142
5598,11803
5606,28904
5616,21676
5627,8881
5629,11862
5643,20102
5644,19196
5651,21814
5652,21528
5654,18878
5663,18615
5675,14272
5684,17337
5685,20307
5701,25224
5704,8881
5705,13613
5709,10881
5723,11388
5726,16177
5731,18331
5732,11595
5758,13064
5763,17722
5786,14999
5792,13955
5795,20197
5796,16913
5808,9699
5812,13441
5815,14278
5819,12125
5832,20228
5837,19448
5848,26022
5872,14423
5885,31567
5886,14922
5900,25979
5902,10881
5921,12708
5935,19487
5948,21988
5952,10854
5965,28986
5987,11699
6019,10881
6020,8881
6024,11515
6026,25429
6031,19325
6042,11830
6043,10881
6049,24781
6059,23086
6064,20107
6065,10881
6069,11294
6073,10867
6086,15476
6091,14459
6094,18690
6101,8881
6103,22849
6107,15060
6114,12430
6118,20416
6131,11860
6136,11006
6144,10881
6159,13446
6165,58282
6173,10881
6175,25463
6178,10881
6181,18627
6184,11885
6191,8881
6192,15518
6197,15212
6202,17201
6204,17179
6205,13397
6226,13968
6248,13078
6254,12271
6256,13065
6263,17993
6289,13520
6327,12966
6329,19966
6333,24123
6334,14266
6335,18397
6337,26001
6340,10728
6345,16474
6352,22566
6361,14814
6363,22448
6384,13057
6423,12300
6430,14834
6442,14769
6445,17795
6456,18258
6459,13239
6473,25553
6478,10881
6490,18499
6512,20241
6515,17298
6517,14109
6522,10881
6524,19482
6526,12486
6530,14564
6533,20149
6536,26510
6548,30014
6559,28816
6580,20196
6586,12353
6591,18791
6596,20887
6599,12401
6601,12290
6615,20989
6621,17622
6622,10881
6653,16412
6654,23314
6655,20163
6658,29240
6668,12246
6671,23387
6672,15727
6676,16153
6682,14407
6695,24368
6699,14365
6703,11194
6705,10881
6708,21118
6712,25708
6718,19583
6727,10540
6735,13817
6743,25267
6744,25565
6747,17432
6748,18334
6756,13186
6765,19845
6770,24555
6775,15100
6786,13446
6789,10775
6794,12661
6796,13577
6797,18814
6801,19574
6805,22546
6810,15004
6823,23846
6825,11750
6836,25788
