pkey,SPORTS
28,"CLUB125"
36,"CLUB242"
47,"CLUB133"
78,"CLUB237"
85,"CLUB132"
100,"CLUB119"
146,"CLUB123"
167,"CLUB123"
168,"CLUB602"
171,"CLUB133"
190,"CLUB111"
206,"CLUB123"
210,"CLUB111"
213,"CLUB111"
217,"CLUB111"
231,"CLUB119"
237,"CLUB242"
250,"CLUB135"
308,"CLUB115"
309,"CLUB221"
321,"CLUB403"
326,"CLUB604"
327,"CLUB233"
338,"CLUB111"
344,"CLUB111"
351,"CLUB111"
355,"CLUB111"
362,"CLUB111"
371,"CLUB132"
373,"CLUB132"
381,"CLUB602"
385,"CLUB103"
387,"CLUB242"
422,"CLUB211"
449,"CLUB602"
479,"CLUB221"
490,"CLUB133"
506,"CLUB108"
507,"CLUB218"
509,"CLUB242"
520,"CLUB111"
522,"CLUB115"
551,"CLUB402"
556,"CLUB602"
596,"CLUB211"
601,"CLUB111"
605,"CLUB211"
617,"CLUB132"
629,"CLUB211"
645,"CLUB242"
649,"CLUB119"
663,"CLUB128"
702,"CLUB211"
711,"CLUB245"
737,"CLUB107"
739,"CLUB404"
750,"CLUB602"
754,"CLUB113"
758,"CLUB132"
780,"CLUB123"
802,"CLUB111"
817,"CLUB245"
829,"CLUB101"
843,"CLUB111"
848,"CLUB123"
852,"CLUB111"
882,"CLUB109"
909,"CLUB105"
911,"CLUB125"
916,"CLUB111"
918,"CLUB132"
984,"CLUB402"
995,"CLUB111"
996,"CLUB402"
999,"CLUB402"
1013,"CLUB407"
1021,"CLUB233"
1031,"CLUB211"
1032,"CLUB132"
1036,"CLUB129"
1038,"CLUB203"
1039,"CLUB126"
1044,"CLUB109"
1050,"CLUB111"
1108,"CLUB219"
1111,"CLUB115"
1135,"CLUB111"
1184,"CLUB105"
1219,"CLUB218"
1230,"CLUB111"
1232,"CLUB402"
1262,"CLUB123"
1276,"CLUB115"
1278,"CLUB111"
1353,"CLUB604"
1362,"CLUB115"
1366,"CLUB123"
1400,"CLUB119"
1491,"CLUB110"
1538,"CLUB123"
1539,"CLUB261"
1585,"CLUB105"
1616,"CLUB111"
1618,"CLUB604"
1645,"CLUB109"
1657,"CLUB222"
1668,"CLUB242"
1698,"CLUB233"
1746,"CLUB119"
1750,"CLUB111"
1755,"CLUB601"
1756,"CLUB117"
1773,"CLUB111"
1797,"CLUB111"
1836,"CLUB402"
1839,"CLUB242"
1849,"CLUB101"
1869,"CLUB604"
1879,"CLUB132"
1883,"CLUB125"
1888,"CLUB115"
1897,"CLUB413"
1922,"CLUB133"
1942,"CLUB133"
1946,"CLUB413"
1954,"CLUB402"
1956,"CLUB404"
1973,"CLUB108"
1995,"CLUB403"
2003,"CLUB123"
2022,"CLUB103"
2024,"CLUB124"
2037,"CLUB125"
2041,"CLUB404"
2043,"CLUB111"
2053,"CLUB245"
2061,"CLUB602"
2073,"CLUB119"
2075,"CLUB109"
2080,"CLUB115"
2089,"CLUB402"
2091,"CLUB108"
2098,"CLUB111"
2101,"CLUB111"
2122,"CLUB111"
2128,"CLUB410"
2137,"CLUB111"
2187,"CLUB123"
2188,"CLUB420"
2193,"CLUB248"
2195,"CLUB604"
2228,"CLUB233"
2239,"CLUB134"
2247,"CLUB202"
2250,"CLUB123"
2266,"CLUB402"
2283,"CLUB242"
2289,"CLUB105"
2290,"CLUB111"
2302,"CLUB404"
2315,"CLUB420"
2316,"CLUB123"
2325,"CLUB109"
2353,"CLUB410"
2355,"CLUB123"
2377,"CLUB111"
2401,"CLUB404"
2438,"CLUB245"
2440,"CLUB123"
2456,"CLUB132"
2486,"CLUB404"
2523,"CLUB102"
2554,"CLUB111"
2557,"CLUB123"
2571,"CLUB117"
2589,"CLUB503"
2602,"CLUB115"
2609,"CLUB407"
2615,"CLUB133"
2624,"CLUB121"
2645,"CLUB245"
2683,"CLUB125"
2702,"CLUB401"
2743,"CLUB131"
2744,"CLUB218"
2751,"CLUB402"
2766,"CLUB132"
2778,"CLUB249"
2797,"CLUB129"
2821,"CLUB242"
2833,"CLUB402"
2846,"CLUB220"
2855,"CLUB121"
2857,"CLUB111"
2874,"CLUB242"
2876,"CLUB132"
2885,"CLUB242"
2890,"CLUB258"
2901,"CLUB242"
2908,"CLUB123"
2957,"CLUB410"
2958,"CLUB132"
2963,"CLUB132"
2966,"CLUB242"
2982,"CLUB119"
2989,"CLUB122"
3022,"CLUB123"
3088,"CLUB401"
3099,"CLUB119"
3157,"CLUB111"
3174,"CLUB604"
3181,"CLUB101"
3198,"CLUB132"
3215,"CLUB134"
3247,"CLUB219"
3286,"CLUB251"
3300,"CLUB109"
3355,"CLUB123"
3365,"CLUB401"
3397,"CLUB115"
3401,"CLUB245"
3409,"CLUB242"
3423,"CLUB132"
3435,"CLUB117"
3443,"CLUB135"
3466,"CLUB242"
3476,"CLUB115"
3481,"CLUB133"
3485,"CLUB604"
3527,"CLUB221"
3550,"CLUB241"
3559,"CLUB135"
3589,"CLUB410"
3645,"CLUB402"
3674,"CLUB111"
3686,"CLUB123"
3693,"CLUB111"
3704,"CLUB402"
3707,"CLUB106"
3753,"CLUB410"
3777,"CLUB123"
3791,"CLUB410"
3815,"CLUB111"
3818,"CLUB111"
3819,"CLUB501"
3838,"CLUB410"
3852,"CLUB212"
3857,"CLUB105"
3860,"CLUB111"
3867,"CLUB242"
3881,"CLUB123"
3884,"CLUB221"
3952,"CLUB111"
3971,"CLUB420"
3988,"CLUB121"
3999,"CLUB134"
4000,"CLUB415"
4005,"CLUB102"
4021,"CLUB202"
4047,"CLUB128"
4064,"CLUB134"
4107,"CLUB202"
4117,"CLUB129"
4151,"CLUB132"
4205,"CLUB105"
4222,"CLUB126"
4228,"CLUB109"
4230,"CLUB420"
4241,"CLUB242"
4252,"CLUB410"
4262,"CLUB105"
4266,"CLUB114"
4293,"CLUB219"
4302,"CLUB111"
4314,"CLUB206"
4316,"CLUB106"
4324,"CLUB242"
4327,"CLUB101"
4330,"CLUB401"
4375,"CLUB403"
4385,"CLUB221"
4417,"CLUB242"
4434,"CLUB245"
4435,"CLUB401"
4438,"CLUB206"
4449,"CLUB111"
4454,"CLUB132"
4471,"CLUB410"
4474,"CLUB109"
4532,"CLUB410"
4542,"CLUB109"
4567,"CLUB212"
4577,"CLUB242"
4579,"CLUB410"
4592,"CLUB111"
4599,"CLUB133"
4610,"CLUB242"
4626,"CLUB109"
4633,"CLUB604"
4663,"CLUB109"
4669,"CLUB211"
4698,"CLUB115"
4715,"CLUB605"
4717,"CLUB407"
4739,"CLUB212"
4766,"CLUB111"
4776,"CLUB245"
4794,"CLUB242"
4797,"CLUB602"
4819,"CLUB219"
4820,"CLUB212"
4838,"CLUB124"
4861,"CLUB242"
4898,"CLUB402"
4912,"CLUB242"
4925,"CLUB402"
4940,"CLUB128"
4945,"CLUB245"
4949,"CLUB218"
4980,"CLUB119"
4982,"CLUB233"
4983,"CLUB111"
5003,"CLUB402"
5061,"CLUB129"
5085,"CLUB242"
5088,"CLUB101"
5107,"CLUB123"
5109,"CLUB243"
5114,"CLUB219"
5130,"CLUB125"
5145,"CLUB403"
5149,"CLUB242"
5161,"CLUB111"
5175,"CLUB111"
5210,"CLUB401"
5236,"CLUB242"
5237,"CLUB126"
5257,"CLUB106"
5283,"CLUB124"
5293,"CLUB242"
5355,"CLUB402"
5360,"CLUB109"
5370,"CLUB209"
5381,"CLUB101"
5387,"CLUB111"
5399,"CLUB243"
5400,"CLUB111"
5402,"CLUB205"
5410,"CLUB403"
5414,"CLUB103"
5417,"CLUB107"
5423,"CLUB242"
5432,"CLUB604"
5435,"CLUB111"
5440,"CLUB604"
5448,"CLUB109"
5452,"CLUB110"
5475,"CLUB111"
5476,"CLUB413"
5501,"CLUB101"
5502,"CLUB403"
5511,"CLUB410"
5519,"CLUB257"
5526,"CLUB114"
5539,"CLUB242"
5562,"CLUB109"
5572,"CLUB135"
5582,"CLUB111"
5599,"CLUB242"
